sample,parent,early.or.late,dys.nondys,high.low.fecund,plate,CO.sum,female.count,male.count,all.progeny.count,batch
Dys2_A04,701,E,dys,high,Dys2,5,52,NA,NA,1
Dys2_A05,701,E,dys,high,Dys2,5,52,NA,NA,1
Dys2_A06,701,E,dys,high,Dys2,8,52,NA,NA,1
Dys2_A07,701,E,dys,high,Dys2,8,52,NA,NA,1
Dys2_A08,701,E,dys,high,Dys2,15,52,NA,NA,1
Dys2_A09,701,E,dys,high,Dys2,7,52,NA,NA,1
Dys2_A10,701,E,dys,high,Dys2,7,52,NA,NA,1
Dys2_A11,701,E,dys,high,Dys2,12,52,NA,NA,1
Dys2_A12,701,E,dys,high,Dys2,9,52,NA,NA,1
Dys2_B01,701,E,dys,high,Dys2,9,52,NA,NA,1
Dys2_B02,701,E,dys,high,Dys2,6,52,NA,NA,1
Dys2_B03,701,E,dys,high,Dys2,11,52,NA,NA,1
Dys2_B04,701,E,dys,high,Dys2,9,52,NA,NA,1
Dys2_B05,701,E,dys,high,Dys2,2,52,NA,NA,1
Dys2_B06,701,E,dys,high,Dys2,8,52,NA,NA,1
Dys2_B07,701,E,dys,high,Dys2,5,52,NA,NA,1
Dys2_B08,701,E,dys,high,Dys2,10,52,NA,NA,1
Dys2_B09,701,E,dys,high,Dys2,11,52,NA,NA,1
Dys2_B10,701,E,dys,high,Dys2,6,52,NA,NA,1
Dys2_B11,701,E,dys,high,Dys2,7,52,NA,NA,1
Dys2_B12,701,E,dys,high,Dys2,9,52,NA,NA,1
Dys2_C03,701,E,dys,high,Dys2,5,52,NA,NA,1
Dys2_C04,701,E,dys,high,Dys2,5,52,NA,NA,1
Dys2_C05,701,E,dys,high,Dys2,8,52,NA,NA,1
Dys2_C06,701,E,dys,high,Dys2,11,52,NA,NA,1
Dys2_C07,701,E,dys,high,Dys2,4,52,NA,NA,1
Dys2_C08,701,E,dys,high,Dys2,10,52,NA,NA,1
Dys2_C09,701,E,dys,high,Dys2,10,52,NA,NA,1
Dys2_C10,701,E,dys,high,Dys2,7,52,NA,NA,1
Dys2_C11,701,E,dys,high,Dys2,4,52,NA,NA,1
Dys2_C12,701,E,dys,high,Dys2,7,52,NA,NA,1
Dys2_D01,701,E,dys,high,Dys2,10,52,NA,NA,1
Dys2_D02,701,E,dys,high,Dys2,11,52,NA,NA,1
Dys2_D03,701,E,dys,high,Dys2,12,52,NA,NA,1
Dys2_D04,701,E,dys,high,Dys2,12,52,NA,NA,1
Dys2_D05,701,E,dys,high,Dys2,6,52,NA,NA,1
Dys2_D06,701,E,dys,high,Dys2,5,52,NA,NA,1
Dys2_D07,701,E,dys,high,Dys2,8,52,NA,NA,1
Dys2_D08,701,E,dys,high,Dys2,12,52,NA,NA,1
Dys2_D09,701,E,dys,high,Dys2,10,52,NA,NA,1
Dys2_D10,701,E,dys,high,Dys2,7,52,NA,NA,1
Dys2_D11,701,E,dys,high,Dys2,13,52,NA,NA,1
Dys2_D12,701,E,dys,high,Dys2,8,52,NA,NA,1
Dys2_E01,801,E,dys,low,Dys2,8,3,NA,NA,1
Dys2_E02,801,E,dys,low,Dys2,9,3,NA,NA,1
Dys2_E03,801,E,dys,low,Dys2,6,3,NA,NA,1
Dys2_E04,221,E,dys,low,Dys2,9,3,NA,NA,1
Dys2_E05,221,E,dys,low,Dys2,7,3,NA,NA,1
Dys2_E06,221,E,dys,low,Dys2,10,3,NA,NA,1
Dys2_E07,701,E,dys,high,Dys2,6,52,NA,NA,1
Dys2_E08,701,E,dys,high,Dys2,11,52,NA,NA,1
Dys2_E09,701,E,dys,high,Dys2,8,52,NA,NA,1
Dys2_E10,701,E,dys,high,Dys2,10,52,NA,NA,1
Dys2_E11,701,E,dys,high,Dys2,8,52,NA,NA,1
Dys2_E12,701,E,dys,high,Dys2,9,52,NA,NA,1
Dys2_F01,111,E,dys,low,Dys2,12,10,NA,NA,1
Dys2_F02,111,E,dys,low,Dys2,8,10,NA,NA,1
Dys2_F03,111,E,dys,low,Dys2,6,10,NA,NA,1
Dys2_F04,111,E,dys,low,Dys2,5,10,NA,NA,1
Dys2_F05,111,E,dys,low,Dys2,8,10,NA,NA,1
Dys2_F06,111,E,dys,low,Dys2,3,10,NA,NA,1
Dys2_F07,111,E,dys,low,Dys2,5,10,NA,NA,1
Dys2_F08,111,E,dys,low,Dys2,5,10,NA,NA,1
Dys2_F09,111,E,dys,low,Dys2,6,10,NA,NA,1
Dys2_F10,111,E,dys,low,Dys2,6,10,NA,NA,1
Dys2_F11,101,E,dys,low,Dys2,4,2,NA,NA,1
Dys2_F12,101,E,dys,low,Dys2,8,2,NA,NA,1
Dys2_G01,301,E,dys,low,Dys2,7,16,NA,NA,1
Dys2_G02,301,E,dys,low,Dys2,12,16,NA,NA,1
Dys2_G03,301,E,dys,low,Dys2,5,16,NA,NA,1
Dys2_G04,301,E,dys,low,Dys2,7,16,NA,NA,1
Dys2_G05,301,E,dys,low,Dys2,6,16,NA,NA,1
Dys2_G06,301,E,dys,low,Dys2,9,16,NA,NA,1
Dys2_G07,301,E,dys,low,Dys2,3,16,NA,NA,1
Dys2_G08,301,E,dys,low,Dys2,7,16,NA,NA,1
Dys2_G09,301,E,dys,low,Dys2,13,16,NA,NA,1
Dys2_G10,301,E,dys,low,Dys2,8,16,NA,NA,1
Dys2_G11,301,E,dys,low,Dys2,5,16,NA,NA,1
Dys2_G12,301,E,dys,low,Dys2,8,16,NA,NA,1
Dys2_H01,301,E,dys,low,Dys2,6,16,NA,NA,1
Dys2_H02,301,E,dys,low,Dys2,6,16,NA,NA,1
Dys2_H03,301,E,dys,low,Dys2,9,16,NA,NA,1
Dys2_H04,301,E,dys,low,Dys2,6,16,NA,NA,1
Dys2_H05,601,E,dys,low,Dys2,4,5,NA,NA,1
Dys2_H06,601,E,dys,low,Dys2,10,5,NA,NA,1
Dys2_H07,601,E,dys,low,Dys2,4,5,NA,NA,1
Dys2_H08,601,E,dys,low,Dys2,8,5,NA,NA,1
Dys2_H09,601,E,dys,low,Dys2,7,5,NA,NA,1
Dys2_H11,211,E,dys,low,Dys2,8,2,NA,NA,1
Dys2_H12,211,E,dys,low,Dys2,3,2,NA,NA,1
NonDys3_A03,702,E,nondys,NA,NonDys3,9,NA,NA,NA,1
NonDys3_A04,702,E,nondys,NA,NonDys3,7,NA,NA,NA,1
NonDys3_A05,702,E,nondys,NA,NonDys3,6,NA,NA,NA,1
NonDys3_A06,702,E,nondys,NA,NonDys3,6,NA,NA,NA,1
NonDys3_A07,702,E,nondys,NA,NonDys3,6,NA,NA,NA,1
NonDys3_A08,702,E,nondys,NA,NonDys3,8,NA,NA,NA,1
NonDys3_A09,702,E,nondys,NA,NonDys3,6,NA,NA,NA,1
NonDys3_A10,702,E,nondys,NA,NonDys3,6,NA,NA,NA,1
NonDys3_A11,702,E,nondys,NA,NonDys3,8,NA,NA,NA,1
NonDys3_A12,702,E,nondys,NA,NonDys3,12,NA,NA,NA,1
NonDys3_B04,802,E,nondys,NA,NonDys3,10,NA,NA,NA,1
NonDys3_B05,802,E,nondys,NA,NonDys3,7,NA,NA,NA,1
NonDys3_B06,802,E,nondys,NA,NonDys3,7,NA,NA,NA,1
NonDys3_B07,802,E,nondys,NA,NonDys3,6,NA,NA,NA,1
NonDys3_B08,802,E,nondys,NA,NonDys3,8,NA,NA,NA,1
NonDys3_B09,802,E,nondys,NA,NonDys3,10,NA,NA,NA,1
NonDys3_B10,802,E,nondys,NA,NonDys3,6,NA,NA,NA,1
NonDys3_B11,802,E,nondys,NA,NonDys3,8,NA,NA,NA,1
NonDys3_B12,802,E,nondys,NA,NonDys3,6,NA,NA,NA,1
NonDys3_C04,902,E,nondys,NA,NonDys3,7,NA,NA,NA,1
NonDys3_C05,902,E,nondys,NA,NonDys3,8,NA,NA,NA,1
NonDys3_C06,902,E,nondys,NA,NonDys3,2,NA,NA,NA,1
NonDys3_C07,902,E,nondys,NA,NonDys3,8,NA,NA,NA,1
NonDys3_C08,902,E,nondys,NA,NonDys3,9,NA,NA,NA,1
NonDys3_C09,902,E,nondys,NA,NonDys3,5,NA,NA,NA,1
NonDys3_C10,902,E,nondys,NA,NonDys3,9,NA,NA,NA,1
NonDys3_C11,902,E,nondys,NA,NonDys3,10,NA,NA,NA,1
NonDys3_C12,902,E,nondys,NA,NonDys3,5,NA,NA,NA,1
NonDys3_D02,102,E,nondys,NA,NonDys3,5,NA,NA,NA,1
NonDys3_D03,102,E,nondys,NA,NonDys3,4,NA,NA,NA,1
NonDys3_D04,102,E,nondys,NA,NonDys3,9,NA,NA,NA,1
NonDys3_D05,102,E,nondys,NA,NonDys3,8,NA,NA,NA,1
NonDys3_D06,102,E,nondys,NA,NonDys3,5,NA,NA,NA,1
NonDys3_D07,102,E,nondys,NA,NonDys3,5,NA,NA,NA,1
NonDys3_D08,102,E,nondys,NA,NonDys3,6,NA,NA,NA,1
NonDys3_D09,102,E,nondys,NA,NonDys3,5,NA,NA,NA,1
NonDys3_D10,102,E,nondys,NA,NonDys3,9,NA,NA,NA,1
NonDys3_D11,102,E,nondys,NA,NonDys3,7,NA,NA,NA,1
NonDys3_D12,102,E,nondys,NA,NonDys3,8,NA,NA,NA,1
NonDys3_E04,112,E,nondys,NA,NonDys3,10,NA,NA,NA,1
NonDys3_E05,112,E,nondys,NA,NonDys3,4,NA,NA,NA,1
NonDys3_E06,112,E,nondys,NA,NonDys3,5,NA,NA,NA,1
NonDys3_E07,112,E,nondys,NA,NonDys3,2,NA,NA,NA,1
NonDys3_E08,112,E,nondys,NA,NonDys3,4,NA,NA,NA,1
NonDys3_E09,112,E,nondys,NA,NonDys3,6,NA,NA,NA,1
NonDys3_E10,112,E,nondys,NA,NonDys3,7,NA,NA,NA,1
NonDys3_E11,112,E,nondys,NA,NonDys3,5,NA,NA,NA,1
NonDys3_E12,112,E,nondys,NA,NonDys3,6,NA,NA,NA,1
NonDys3_F01,122,E,nondys,NA,NonDys3,6,NA,NA,NA,1
NonDys3_F03,122,E,nondys,NA,NonDys3,5,NA,NA,NA,1
NonDys3_F04,122,E,nondys,NA,NonDys3,10,NA,NA,NA,1
NonDys3_F05,122,E,nondys,NA,NonDys3,9,NA,NA,NA,1
NonDys3_F06,122,E,nondys,NA,NonDys3,6,NA,NA,NA,1
NonDys3_F07,122,E,nondys,NA,NonDys3,6,NA,NA,NA,1
NonDys3_F08,122,E,nondys,NA,NonDys3,7,NA,NA,NA,1
NonDys3_F09,122,E,nondys,NA,NonDys3,7,NA,NA,NA,1
NonDys3_F10,122,E,nondys,NA,NonDys3,5,NA,NA,NA,1
NonDys3_F11,122,E,nondys,NA,NonDys3,6,NA,NA,NA,1
NonDys3_F12,122,E,nondys,NA,NonDys3,7,NA,NA,NA,1
NonDys3_G04,132,E,nondys,NA,NonDys3,10,NA,NA,NA,1
NonDys3_G05,132,E,nondys,NA,NonDys3,5,NA,NA,NA,1
NonDys3_G06,132,E,nondys,NA,NonDys3,5,NA,NA,NA,1
NonDys3_G07,132,E,nondys,NA,NonDys3,8,NA,NA,NA,1
NonDys3_G08,132,E,nondys,NA,NonDys3,12,NA,NA,NA,1
NonDys3_G09,132,E,nondys,NA,NonDys3,5,NA,NA,NA,1
NonDys3_G10,132,E,nondys,NA,NonDys3,7,NA,NA,NA,1
NonDys3_G11,132,E,nondys,NA,NonDys3,7,NA,NA,NA,1
NonDys3_G12,132,E,nondys,NA,NonDys3,10,NA,NA,NA,1
NonDys3_H02,142,E,nondys,NA,NonDys3,5,NA,NA,NA,1
NonDys3_H06,142,E,nondys,NA,NonDys3,6,NA,NA,NA,1
NonDys3_H07,142,E,nondys,NA,NonDys3,6,NA,NA,NA,1
NonDys3_H08,142,E,nondys,NA,NonDys3,10,NA,NA,NA,1
NonDys3_H09,142,E,nondys,NA,NonDys3,7,NA,NA,NA,1
NonDys3_H10,142,E,nondys,NA,NonDys3,6,NA,NA,NA,1
NonDys3_H11,142,E,nondys,NA,NonDys3,5,NA,NA,NA,1
NonDys3_H12,142,E,nondys,NA,NonDys3,11,NA,NA,NA,1
