"sample","contig","CO.pos","parent","time","dys.non","fecundity","batch"
"Dys2_A04","A",0,701,"E","dys","high",1
"Dys2_A04","B",19680509,701,"E","dys","high",1
"Dys2_A04","C",12798169,701,"E","dys","high",1
"Dys2_A04","D",14655656,701,"E","dys","high",1
"Dys2_A04","E",4294452,701,"E","dys","high",1
"Dys2_A04","E",22738297,701,"E","dys","high",1
"Dys2_A05","A",10977718,701,"E","dys","high",1
"Dys2_A05","B",8820761,701,"E","dys","high",1
"Dys2_A05","C",0,701,"E","dys","high",1
"Dys2_A05","D",9900476,701,"E","dys","high",1
"Dys2_A05","E",20155830,701,"E","dys","high",1
"Dys2_A05","E",28517829,701,"E","dys","high",1
"Dys2_A06","A",10460239,701,"E","dys","high",1
"Dys2_A06","A",18928794,701,"E","dys","high",1
"Dys2_A06","B",14147659,701,"E","dys","high",1
"Dys2_A06","B",25131787,701,"E","dys","high",1
"Dys2_A06","C",2163297,701,"E","dys","high",1
"Dys2_A06","C",8025664,701,"E","dys","high",1
"Dys2_A06","C",16829473,701,"E","dys","high",1
"Dys2_A06","D",0,701,"E","dys","high",1
"Dys2_A06","E",8159348,701,"E","dys","high",1
"Dys2_A07","A",1199313,701,"E","dys","high",1
"Dys2_A07","A",14793832,701,"E","dys","high",1
"Dys2_A07","B",11753288,701,"E","dys","high",1
"Dys2_A07","C",13560220,701,"E","dys","high",1
"Dys2_A07","D",8066518,701,"E","dys","high",1
"Dys2_A07","D",24847922,701,"E","dys","high",1
"Dys2_A07","E",7818781,701,"E","dys","high",1
"Dys2_A07","E",22354452,701,"E","dys","high",1
"Dys2_A08","A",2681637,701,"E","dys","high",1
"Dys2_A08","A",10118591,701,"E","dys","high",1
"Dys2_A08","A",15342716,701,"E","dys","high",1
"Dys2_A08","A",19091100,701,"E","dys","high",1
"Dys2_A08","B",4759302,701,"E","dys","high",1
"Dys2_A08","B",9740611,701,"E","dys","high",1
"Dys2_A08","B",15896100,701,"E","dys","high",1
"Dys2_A08","B",26936459,701,"E","dys","high",1
"Dys2_A08","C",1072418,701,"E","dys","high",1
"Dys2_A08","C",9465869,701,"E","dys","high",1
"Dys2_A08","D",7182314,701,"E","dys","high",1
"Dys2_A08","D",22108824,701,"E","dys","high",1
"Dys2_A08","E",5868981,701,"E","dys","high",1
"Dys2_A08","E",12727396,701,"E","dys","high",1
"Dys2_A08","E",21190391,701,"E","dys","high",1
"Dys2_A09","A",2022153,701,"E","dys","high",1
"Dys2_A09","A",7618623,701,"E","dys","high",1
"Dys2_A09","A",12110336,701,"E","dys","high",1
"Dys2_A09","B",25665745,701,"E","dys","high",1
"Dys2_A09","C",14586751,701,"E","dys","high",1
"Dys2_A09","D",21008499,701,"E","dys","high",1
"Dys2_A09","E",20747272,701,"E","dys","high",1
"Dys2_A10","A",3898770,701,"E","dys","high",1
"Dys2_A10","A",22306851,701,"E","dys","high",1
"Dys2_A10","B",1828994,701,"E","dys","high",1
"Dys2_A10","B",17467906,701,"E","dys","high",1
"Dys2_A10","C",19346549,701,"E","dys","high",1
"Dys2_A10","D",5510385,701,"E","dys","high",1
"Dys2_A10","D",22460961,701,"E","dys","high",1
"Dys2_A10","E",0,701,"E","dys","high",1
"Dys2_A11","A",5118319,701,"E","dys","high",1
"Dys2_A11","A",10185699,701,"E","dys","high",1
"Dys2_A11","A",20340132,701,"E","dys","high",1
"Dys2_A11","B",10887977,701,"E","dys","high",1
"Dys2_A11","B",18328560,701,"E","dys","high",1
"Dys2_A11","B",22051145,701,"E","dys","high",1
"Dys2_A11","C",12883551,701,"E","dys","high",1
"Dys2_A11","C",15899010,701,"E","dys","high",1
"Dys2_A11","D",14022006,701,"E","dys","high",1
"Dys2_A11","E",5452776,701,"E","dys","high",1
"Dys2_A11","E",20652758,701,"E","dys","high",1
"Dys2_A11","E",26062424,701,"E","dys","high",1
"Dys2_A12","A",10351848,701,"E","dys","high",1
"Dys2_A12","A",23103488,701,"E","dys","high",1
"Dys2_A12","A",25243982,701,"E","dys","high",1
"Dys2_A12","B",10432031,701,"E","dys","high",1
"Dys2_A12","B",19106281,701,"E","dys","high",1
"Dys2_A12","C",15185748,701,"E","dys","high",1
"Dys2_A12","C",21111779,701,"E","dys","high",1
"Dys2_A12","D",2644014,701,"E","dys","high",1
"Dys2_A12","E",27781672,701,"E","dys","high",1
"Dys2_B01","A",17249112,701,"E","dys","high",1
"Dys2_B01","B",8698024,701,"E","dys","high",1
"Dys2_B01","B",18604397,701,"E","dys","high",1
"Dys2_B01","B",19983046,701,"E","dys","high",1
"Dys2_B01","C",13443351,701,"E","dys","high",1
"Dys2_B01","C",19756876,701,"E","dys","high",1
"Dys2_B01","D",19117967,701,"E","dys","high",1
"Dys2_B01","D",22512334,701,"E","dys","high",1
"Dys2_B01","E",21470858,701,"E","dys","high",1
"Dys2_B02","A",20001849,701,"E","dys","high",1
"Dys2_B02","B",13276812,701,"E","dys","high",1
