plate,well,contig,start,end,par,time
Dys15,A05,A,19397,23968487,4016,E
Dys15,A05,B,111402,16063903,4016,E
Dys15,A05,C,8487979,18864038,4016,E
Dys15,A05,E,25420316,33406160,4016,E
Dys15,A05,E,33927126,37609291,4016,E
Dys15,A06,A,12076,29567870,4016,E
Dys15,A06,B,11818440,29456746,4016,E
Dys15,A06,C,173058,2250883,4016,E
Dys15,A06,C,8792789,24240975,4016,E
Dys15,A06,C,24340833,25423607,4016,E
Dys15,A06,D,121986,10325600,4016,E
Dys15,A06,D,20467483,23515281,4016,E
Dys15,A06,D,23634531,25799045,4016,E
Dys15,A06,F,501416,1831330,4016,E
Dys15,A07,A,34913,6620895,4016,E
Dys15,A07,A,14095010,29805009,4016,E
Dys15,A07,B,77770,1790021,4016,E
Dys15,A07,B,3583023,22758009,4016,E
Dys15,A07,C,6876025,12062636,4016,E
Dys15,A07,C,18196721,25551205,4016,E
Dys15,A07,D,93958,3426404,4016,E
Dys15,A07,D,7159733,16863627,4016,E
Dys15,A07,D,22179397,26659202,4016,E
Dys15,A07,E,27980667,37568163,4016,E
Dys15,A08,A,4252307,9702722,4016,E
Dys15,A08,A,14208883,26090340,4016,E
Dys15,A08,C,21947829,25237123,4016,E
Dys15,A08,E,7082881,37500611,4016,E
Dys15,A09,A,10214787,29148146,4016,E
Dys15,A09,B,51995,9872810,4016,E
Dys15,A09,C,175991,9006571,4016,E
Dys15,A09,C,20329147,25346001,4016,E
Dys15,A09,E,2632,5057096,4016,E
Dys15,A09,E,21076392,37605490,4016,E
Dys15,A10,A,4364,22229324,4016,E
Dys15,A10,B,26027503,29474629,4016,E
Dys15,A10,C,1250952,7313301,4016,E
Dys15,A10,C,18651174,24256014,4016,E
Dys15,A10,C,24341208,25807958,4016,E
Dys15,A10,D,9377456,10623256,4016,E
Dys15,A10,D,12785391,22817374,4016,E
Dys15,A10,E,2632,5386242,4016,E
Dys15,A11,A,35350,17336557,4016,E
Dys15,A11,B,10302,8383342,4016,E
Dys15,A11,B,21727098,29562349,4016,E
Dys15,A11,C,4125,6784157,4016,E
Dys15,A11,C,9137527,25441583,4016,E
Dys15,A11,D,17164986,23542706,4016,E
Dys15,A11,D,23601310,26092795,4016,E
Dys15,A11,E,2450860,8519151,4016,E
Dys15,A11,E,26001279,37620626,4016,E
Dys15,A11,F,488299,1524175,4016,E
Dys15,A12,A,4654,19157945,4016,E
Dys15,A12,B,10302,29545047,4016,E
Dys15,A12,C,11434227,25446636,4016,E
Dys15,A12,D,53413,25973653,4016,E
Dys15,A12,E,6802,25909616,4016,E
Dys15,B05,A,47487,29836999,4016,E
Dys15,B05,B,9515235,17876689,4016,E
